movie name,year,IMDB rating,votes,genre,movie gross,runtime
The Shawshank Redemption,1994,9.3,2579616,Drama,28341469,142
The Dark Knight,2008,9,2548510,Action,534858444,152
Inception,2010,8.8,2263988,Action,292576195,148
Fight Club,1999,8.8,2030409,Drama,37030102,139
Forrest Gump,1994,8.8,1989994,Drama,330252182,142
Pulp Fiction,1994,8.9,1979277,Crime,107928762,154
The Matrix,1999,8.7,1854991,Action,171479930,136
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1794975,Action,315544750,178
The Godfather,1972,9.2,1775973,Crime,134966411,175
The Lord of the Rings: The Return of the King,2003,9,1773517,Action,377845905,201
Interstellar,2014,8.6,1723681,Adventure,188020017,169
The Dark Knight Rises,2012,8.4,1648541,Action,448139099,164
The Lord of the Rings: The Two Towers,2002,8.8,1601955,Action,342551365,179
Se7en,1995,8.6,1582538,Crime,100125643,127
Django Unchained,2012,8.4,1491346,Drama,162805434,165
Gladiator,2000,8.5,1450726,Action,187705427,155
Batman Begins,2005,8.2,1423500,Action,206852432,140
Inglourious Basterds,2009,8.3,1390939,Adventure,120540719,153
The Silence of the Lambs,1991,8.6,1382197,Crime,130742922,118
Saving Private Ryan,1998,8.6,1343454,Drama,216540909,169
The Wolf of Wall Street,2013,8.2,1336894,Biography,116900694,180
Star Wars,1977,8.6,1319020,Action,322740140,121
Schindler's List,1993,9,1313508,Biography,96898818,195
The Prestige,2006,8.5,1291112,Drama,53089891,130
The Departed,2006,8.5,1283252,Crime,132384315,151
Shutter Island,2010,8.2,1254756,Mystery,128012934,138
The Green Mile,1999,8.6,1254399,Crime,136801374,189
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1247492,Action,290475067,124
The Godfather: Part II,1974,9,1227855,Crime,57300000,202
Memento,2000,8.4,1205139,Mystery,25544867,113
Joker,2019,8.4,1184567,Crime,335451311,122
Back to the Future,1985,8.5,1157803,Adventure,210609762,116
American Beauty,1999,8.4,1130420,Drama,130096601,122
Leon: The Professional,1994,8.5,1124159,Action,19501238,110
Goodfellas,1990,8.7,1112924,Biography,46836394,145
V for Vendetta,2005,8.2,1097339,Action,70511035,132
American History X,1998,8.5,1094643,Drama,6719864,119
Kill Bill: Vol. 1,2003,8.2,1081789,Action,70099045,111
WALL-E,2008,8.4,1081491,Animation,223808164,98
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,1076563,Action,305413918,143
Terminator 2: Judgment Day,1991,8.6,1065958,Action,204843350,137
The Usual Suspects,1995,8.5,1058970,Crime,23341568,106
Avengers: Endgame,2019,8.4,1044092,Action,858373000,181
The Truman Show,1998,8.2,1033302,Comedy,125618201,103
The Lion King,1994,8.5,1021616,Animation,422783777,88
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1019223,Action,309125409,131
Braveheart,1995,8.4,1015372,Biography,75600000,178
Finding Nemo,2003,8.2,1015174,Animation,380843261,100
Up,2009,8.3,1011794,Animation,293004164,96
Avengers: Infinity War,2018,8.4,1007616,Action,678815482,149
Reservoir Dogs,1992,8.3,988684,Crime,2832029,99
The Shining,1980,8.4,982669,Drama,44017374,146
One Flew Over the Cuckoo's Nest,1975,8.7,981458,Drama,112000000,133
Eternal Sunshine of the Spotless Mind,2004,8.3,978990,Drama,34400301,108
The Sixth Sense,1999,8.2,967375,Drama,293506292,107
Mad Max: Fury Road,2015,8.1,966761,Action,154058340,120
